billtype_x,billno,itcode,itunit,itqty,itrte,itamnt,refno,billtype_y,billdate,ccode,clsup,slpucd,tramnt,refno_y,refdt,duedate,name,ortyp,ordte,OrderToPurchaseDays
PURC,200510,ELBOWTRAY00008 ,NOS  ,465.0,1.27,590.55,200378,PURC,2020-09-02,RESIDENTIAL,CR00280,Purchase Dusting - Residential                              ,1394.43,INV3703                  ,2020-09-02,2020-09-02,CR PERFORMANCE PACKAGING                                    ,P,2020-08-25,8.0
PURC,200542,GICOIL00000022 ,LBS  ,9560.0,0.45,4302.0,200293,PURC,2020-09-28,COMMERCIAL,CR00343,Purchase Duct - Commercial                                  ,8545.5,112337                   ,2020-09-15,2020-10-30,CR COMMERCIAL STEEL PRODUCT                                 ,P,2020-06-22,98.0
PURC,200542,GICOIL00000022 ,LBS  ,9430.0,0.45,4243.5,200293,PURC,2020-09-28,COMMERCIAL,CR00343,Purchase Duct - Commercial                                  ,8545.5,112337                   ,2020-09-15,2020-10-30,CR COMMERCIAL STEEL PRODUCT                                 ,P,2020-06-22,98.0
PURC,200543,GISLIT53940024 ,LBS  ,5394.0,0.4825,2602.605,200270,PURC,2020-09-30,COMMERCIAL,CR00343,Purchase Duct - Commercial                                  ,19781.053,112336                   ,2020-09-15,2020-10-30,CR COMMERCIAL STEEL PRODUCT                                 ,P,2020-06-12,110.0
PURC,200543,GISLIT53940024 ,LBS  ,5394.0,0.4825,2602.605,200270,PURC,2020-09-30,COMMERCIAL,CR00343,Purchase Duct - Commercial                                  ,19781.053,112336                   ,2020-09-15,2020-10-30,CR COMMERCIAL STEEL PRODUCT                                 ,P,2020-06-12,110.0
PURC,200543,GISLIT53940024 ,LBS  ,5358.0,0.4825,2585.235,200270,PURC,2020-09-30,COMMERCIAL,CR00343,Purchase Duct - Commercial                                  ,19781.053,112336                   ,2020-09-15,2020-10-30,CR COMMERCIAL STEEL PRODUCT                                 ,P,2020-06-12,110.0
PURC,200543,GISLIT53940024 ,LBS  ,5358.0,0.4825,2585.235,200270,PURC,2020-09-30,COMMERCIAL,CR00343,Purchase Duct - Commercial                                  ,19781.053,112336                   ,2020-09-15,2020-10-30,CR COMMERCIAL STEEL PRODUCT                                 ,P,2020-06-12,110.0
PURC,200543,GISLIT53940024 ,LBS  ,5358.0,0.4825,2585.235,200270,PURC,2020-09-30,COMMERCIAL,CR00343,Purchase Duct - Commercial                                  ,19781.053,112336                   ,2020-09-15,2020-10-30,CR COMMERCIAL STEEL PRODUCT                                 ,P,2020-06-12,110.0
PURC,200543,GISLIT53940024 ,LBS  ,3572.0,0.4825,1723.49,200270,PURC,2020-09-30,COMMERCIAL,CR00343,Purchase Duct - Commercial                                  ,19781.053,112336                   ,2020-09-15,2020-10-30,CR COMMERCIAL STEEL PRODUCT                                 ,P,2020-06-12,110.0
PURC,200543,GISLIT53940024 ,LBS  ,5265.0,0.4825,2540.363,200270,PURC,2020-09-30,COMMERCIAL,CR00343,Purchase Duct - Commercial                                  ,19781.053,112336                   ,2020-09-15,2020-10-30,CR COMMERCIAL STEEL PRODUCT                                 ,P,2020-06-12,110.0
